AK,16,4,20,3/26/2016
AL,53,7,60,3/1/2016
AR,32,5,37,3/2/2016
AS,6,4,10,3/1/2016
AZ,75,10,85,3/22/2016
CA,475,71,546,6/7/2016
CO,66,13,79,3/3/2016
CT,55,15,70,4/26/2016
DA,13,4,17,3/8/2016
DC,30,25,55,6/14/2016
DE,21,10,31,4/26/2016
FL,214,32,246,3/15/2016
GA,102,15,117,3/4/2016
GU,7,5,12,5/7/2016
HI,25,9,34,3/26/2016
IA,44,8,52,2/1/2016
ID,23,4,27,3/22/2016
IL,156,26,182,3/15/2016
IN,83,9,92,5/3/2016
KS,33,4,37,3/5/2016
KY,55,5,60,5/17/2016
LA,51,8,59,3/5/2016
MA,91,25,116,3/5/2016
MD,95,23,118,4/26/2016
ME,25,5,30,3/6/2016
MI,130,17,147,3/8/2016
MN,77,16,93,3/6/2016
MO,71,13,84,3/15/2016
MS,36,5,41,3/8/2016
MT,21,6,27,6/7/2016
NC,107,14,121,3/15/2016
ND,18,5,23,6/7/2016
NE,25,5,30,3/5/2016
NH,24,8,32,2/9/2016
NJ,126,16,142,6/7/2016
NM,34,9,43,6/7/2016
NMI,6,5,11,3/12/2016
NV,35,8,43,2/20/2016
NY,247,44,291,4/19/2016
OH,143,16,159,3/15/2016
OK,38,4,42,3/7/2016
OR,61,13,74,5/17/2016
PA,189,21,210,4/26/2016
PR,60,7,67,6/5/2016
RI,24,9,33,4/26/2016
SC,53,6,59,2/27/2016
SD,20,5,25,6/7/2016
TN,67,9,76,3/8/2016
TX,222,30,252,3/9/2016
UT,33,4,37,3/22/2016
VA,95,14,109,3/11/2016
VI,7,5,12,6/4/2016
VT,16,10,26,3/10/2016
WA,101,17,118,3/26/2016
WI,86,10,96,4/5/2016
WV,29,8,37,5/10/2016
WY,14,4,18,4/9/2016
US,4061,709,4770,
